,Date,msPlayed
249,2020-05-06,1556422
250,2020-05-07,956741
251,2020-05-08,3225618
252,2020-05-09,3056382
253,2020-05-10,2068385
254,2020-05-11,668972
255,2020-05-12,364171
256,2020-05-13,322450
257,2020-05-14,1243400
258,2020-05-15,7929323
259,2020-05-16,2900392
260,2020-05-17,2004964
261,2020-05-20,4284336
262,2020-05-21,2204249
263,2020-05-22,1497166
264,2020-05-23,1529923
265,2020-05-24,907411
266,2020-05-25,6538980
267,2020-05-26,2204196
268,2020-05-27,153692
269,2020-05-28,591115
270,2020-05-29,25543
271,2020-05-30,635613
272,2020-05-31,5104840
273,2020-06-01,9943
274,2020-06-02,5916421
275,2020-06-04,5733956
276,2020-06-05,15034
277,2020-06-06,1441044
278,2020-06-07,719622
279,2020-06-08,323036
280,2020-06-09,912387
281,2020-06-10,5990789
282,2020-06-11,1367528
283,2020-06-13,15680
284,2020-06-14,221573
285,2020-06-16,1040365
286,2020-06-17,2051088
287,2020-06-18,13150372
288,2020-06-19,127303
289,2020-06-20,3245908
290,2020-06-21,2553186
291,2020-06-22,4034562
292,2020-06-23,1948810
293,2020-06-24,7288529
294,2020-06-25,373563
295,2020-06-26,478102
296,2020-06-27,444838
297,2020-06-28,4044344
298,2020-06-29,7700688
299,2020-06-30,10713237
300,2020-07-01,9502668
301,2020-07-02,4717704
