,trackName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
43,Sweet Home Alabama,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,audio_features,7e89621JPkKaeDSTQ3avtg,spotify:track:7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/tracks/7e89621JPkKaeDSTQ3avtg,Lynyrd Skynyrd,283800,4
44,Malhar,0.507,0.932,1,-4.501,0,0.0762,0.0592,0,0.302,0.311,114.961,audio_features,7EvAlx0lOLbZgCKH50wnUU,spotify:track:7EvAlx0lOLbZgCKH50wnUU,https://api.spotify.com/v1/tracks/7EvAlx0lOLbZgCKH50wnUU,Anand Bhaskar Collective,244048,3
45,Break Up Song,0.626,0.749,5,-5.406,1,0.0443,0.00515,0,0.215,0.6,90.033,audio_features,3fEoJxnPpfIHwFHKiFtqbA,spotify:track:3fEoJxnPpfIHwFHKiFtqbA,https://api.spotify.com/v1/tracks/3fEoJxnPpfIHwFHKiFtqbA,Little Mix,200299,4
46,Animals,0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,audio_features,3h4T9Bg8OVSUYa6danHeH5,spotify:track:3h4T9Bg8OVSUYa6danHeH5,https://api.spotify.com/v1/tracks/3h4T9Bg8OVSUYa6danHeH5,Maroon 5,231013,4
47,Bounce Back,0.78,0.575,1,-5.628,0,0.139,0.106,0,0.129,0.273,81.502,audio_features,0SGkqnVQo9KPytSri1H6cF,spotify:track:0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,Little Mix,222360,4
48,Fluorescent Adolescent,0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,audio_features,2x8evxqUlF0eRabbW2JBJd,spotify:track:2x8evxqUlF0eRabbW2JBJd,https://api.spotify.com/v1/tracks/2x8evxqUlF0eRabbW2JBJd,Arctic Monkeys,183893,4
49,Maps,0.742,0.713,1,-5.522,0,0.0303,0.0205,0,0.059,0.879,120.032,audio_features,7oUHzZKNKUTrlU7DYxhQ7v,spotify:track:7oUHzZKNKUTrlU7DYxhQ7v,https://api.spotify.com/v1/tracks/7oUHzZKNKUTrlU7DYxhQ7v,Maroon 5,189960,4
50,Budapest,0.714,0.451,5,-8.268,1,0.0276,0.0883,0,0.108,0.406,127.787,audio_features,7GJClzimvMSghjcrKxuf1M,spotify:track:7GJClzimvMSghjcrKxuf1M,https://api.spotify.com/v1/tracks/7GJClzimvMSghjcrKxuf1M,George Ezra,200720,4
51,Reggaetón Lento (Remix),0.534,0.911,4,-3.086,0,0.0852,0.15,0,0.0986,0.624,93.767,audio_features,58gqyeFXhOttZW3yetJGPN,spotify:track:58gqyeFXhOttZW3yetJGPN,https://api.spotify.com/v1/tracks/58gqyeFXhOttZW3yetJGPN,CNCO,188800,4
52,What A Man Gotta Do,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039,audio_features,4wNIkl5XGiAACjFBlDWuSd,spotify:track:4wNIkl5XGiAACjFBlDWuSd,https://api.spotify.com/v1/tracks/4wNIkl5XGiAACjFBlDWuSd,Jonas Brothers,180645,4
